"Field_ID","unique_ID","Survey_Event_ID","Observer","Survey_Date","Survey_Time","Wind","Temp","Sky_Code","Avg_Noise","Max_Noise","OVSP?","Site_Comments","Number_Detected","Expr1014","Lark_ID","Individual_ID","Sex","Age","Distance Band","Interval_1","Interval_2","Interval_3","Interval_4","Notes"
"22_2_4811",4811,114,"MLG","6/25/2022","6:01:00 AM",1.80,53.20,"0",53.20,79.00,0,"Tall grass field to north, clover to the south with some bare areas. Line of trees to south southeast. Gravel shoulder.
Other species: SASP",0,,,,,,,,,,,
"22_2_4845",4845,71,"MLG","6/19/2022","5:38:00 AM",0.00,56.60,"2",58.30,81.00,0,"Grass field across fro a house with trees. Dairy to the north.
Other species: CAQU, YEWA, BHCO, SPTO, BHGR, HOWR, BLPH, BRBL, SWTH, RUHU, CEDW, BRCR",0,,,,,,,,,,,
"22_2_4983",4983,32,"MLG","6/13/2022","8:06:00 AM",1.10,51.90,"4",59.00,81.00,0,"Tall grass on both sides of the point, bare shoulder. Park after line of trees south east of point. It started raining hard at interval 2.",0,,,,,,,,,,,
"22_2_5043",5043,6,"MLG","6/8/2022","5:46:00 AM",0.00,60.50,"2",88.70,105.00,0,"Very busy road. Grass fields mowed along road ~3m, tall trees >100m from road on both sides",0,,,,,,,,,,,
"22_2_5103",5103,73,"MLG","6/19/2022","6:15:00 AM",0.00,56.30,"2",59.10,78.00,0,"Grassy shoulder. Tall trees along the road to the northwest, tall grass field to southeast. Mowed lawn beyond trees.
Other species: AMRO, CASJ, SOSP, SPTO, TRSW, CLSW, BASW, WEWP, EUCD, BRCR",0,,,,,,,,,,,
"22_2_5144",5144,17,"MLG","6/9/2022","6:06:00 AM",2.50,54.50,"2",77.10,99.00,0,"Busy road, short grass and gravel shoulder. Train tracks to the east then an open grass field (HWY 99E)",0,,,,,,,,,,,
"22_2_5243",5243,23,"MLG","6/9/2022","9:07:00 AM",1.40,59.80,"2",75.00,98.00,0,"2m tall grass on both sides, bare gravel shoulder. Road crew came by and sprayed herbicide on west side of road at interval 2",0,,,,,,,,,,,
"22_2_5246",5246,105,"MLG","6/23/2022","7:08:00 AM",3.10,53.90,"0",41.40,62.00,0,"Near an ag complex. Tall grass to north, half tall grass half short to south. Gravel shoulder.
Other species: SASP, WCSP, CLSW",1,41,41,1,"U","A","2","X","C","X","X",
"22_2_5269",5269,202,"SHA","6/24/2022","7:08:00 AM",0.00,55.90,"0",60.40,81.00,0,"a lot of hours on small lots with grassy areas between - scattered trees - may want to discard",0,,,,,,,,,,,
"22_2_5315",5315,113,"MLG","6/25/2022","5:33:00 AM",0.00,50.90,"0",42.10,57.00,0,"Next to 2 windmills and 2 trees on south side. Tall grass field to south, recently mowed dry grass to north. Train tracks to east. Gravel road.
Other species: RTHA, BRBL, SASP, MODO, BAEA, NOHA",1,44,44,1,"U","A","3","C","C","X","X","Adult male carrying food after the survey in the area where calls were detected but no visual during survey"
"22_2_5383",5383,116,"MLG","6/25/2022","7:17:00 AM",0.00,60.20,"0",67.50,97.00,0,"Tall grass to east, dry clover/grass mix to west. Barn and short grass pasture with a few small trees to northwest. Gravel shoulder
Other species: SASP, BASW",1,45,45,1,"M","A","2","X","S","X","X",
"22_2_5485",5485,145,"BMW","6/18/2022","8:00:00 AM",5.40,55.00,"2",74.00,111.00,0,"Big ag fields with tall grass, but point is at a creek and greenway crossing and in front of a house. Either direction on the road would have be better. But still more than 50% suitable by a lot. Fairly noisy road. BHG, kestrel, RWBB, SOSP.",0,,,,,,,,,,,
"22_2_5529",5529,14,"MLG","6/8/2022","9:02:00 AM",4.00,68.10,"1",82.00,88.00,0,"Parking lot on west side of point, tall grass field to east bordered by trees and a ditch. Issue with sound meter app so the noise levels are not accurate",0,,,,,,,,,,,
"22_2_5543",5543,50,"MLG","6/16/2022","8:52:00 AM",2.50,57.60,"2",73.40,94.00,0,"Houses east of point, park near smucker's seed sign.",0,,,,,,,,,,,
"22_2_5583",5583,144,"BMW","6/18/2022","8:21:00 AM",5.20,55.00,"2",52.00,101.00,0,"Extensive tall grass fields. Some trees. No bare ground. Northern Harrier.",0,,,,,,,,,,,
"22_2_5662",5662,70,"MLG","6/18/2022","8:31:00 AM",6.00,54.60,"2",76.60,100.00,0,"Tall grass fields on both sides. Steep gravel shoulder, ditch with water. On a curve, somewhat busy road",0,,,,,,,,,,,
"22_2_5690",5690,211,"SHA","6/23/2022","7:52:00 AM",4.10,61.10,"0",52.70,76.00,0,"on corner in front of house with dog and stand of oak, two loudly meowing cats, grass fields otherwise",0,,,,,,,,,,,
"22_2_5707",5707,126,"MLG","6/29/2022","7:27:00 AM",1.00,57.40,"4",42.40,59.00,0,"Tall grass on north side, filberts on south side. Line of trees to south between the road and filberts. House to east. Gravel shoulder. Very low clouds, dark and drizzly/misty
Other species: RWBL, KILL",0,,,,,,,,,,,
"22_2_5797",5797,215,"SHA","6/23/2022","6:21:00 AM",0.50,48.90,"0",36.20,62.00,0,"grass fields both sides",0,,,,,,,,,,,
"22_3_0006",6,133,"BMW","6/9/2022","7:01:00 AM",2.20,60.00,"2",39.00,91.00,0,"Short grass (1-2ft tall) on west side, taller grass on right (east). Very little open ground except right along the road.",0,,,,,,,,,,,
"22_3_0010",10,100,"MLG","6/22/2022","8:45:00 AM",2.30,66.10,"0",51.90,89.00,0,"Someones driveway next to a creek with tall trees north of point. 2m tall filbers with bare ground under them to west. Corner of a grass field to southeast. Probably not going to be viable next year when the trees are bigger
Other species: LEGO, CLSW, BASW, WEWP",0,,,,,,,,,,,
"22_3_0047",47,98,"MLG","6/22/2022","7:52:00 AM",3.50,61.50,"0",46.20,64.00,0,"Tall grass on both sides, bare shoulder. Trees beyond 200m buffer, house to southeast within buffer.
Other species: COYE, SASP, CEDW, AMRO, LABU",0,,,,,,,,,,,
"22_3_0054",54,99,"MLG","6/22/2022","8:21:00 AM",1.20,65.20,"0",59.20,78.00,0,"Winery driveway to east, grass pasture to west. Not very much bare ground.
Other species: RWBL, CAQU, ANHU, BASW, VGSW, AMRO, WIWA, CHSP, AMGO, NOFL, PUFI",0,,,,,,,,,,,
"22_3_0397",397,134,"BMW","6/9/2022","6:09:00 AM",3.50,55.50,"2",38.00,97.00,0,"Tall grass on south and north sides of the road. Better field potential 200 yards south, with low veg height and some open ground.",0,,,,,,,,,,,
"22_3_0550",550,127,"MLG","6/29/2022","7:59:00 AM",2.60,59.40,"2",62.50,111.00,0,"Grass seed test plots with some open space to west, clover to east. Gravel shoulder. 2 swathers drove by at the end, very loud.
Other species: MAKE, CORA, RWBL, YEWA, WEWP",0,,,,,,,,,,,
"22_3_0643",643,88,"MLG","6/20/2022","8:00:00 AM",0.00,59.40,"2",75.20,92.00,0,"Tall grass on south side, mowed lawn on north side. Line of trees to northeast. Grass up to pavement.
Other species: BCCH, RTHA, SPTO, CHSP, DEJU, WEWP, HOWR, CORA, COYE, AMCR, BTPI",0,,,,,,,,,,,
"22_3_0814",814,90,"MLG","6/20/2022","8:42:00 AM",0.50,60.20,"2",72.50,94.00,0,"Grass fields on both sides, multiple lines of tall trees west and directly to the sides of the point. Gravel and grass shoulder, steep ditch on south side.
Other species: BCCH, TUVU, BHGR, WEWP, YEWA, HOFI, AMGO, BHCO, SPTO",0,,,,,,,,,,,
"22_3_0900",900,38,"MLG","6/14/2022","7:09:00 AM",2.20,54.20,"4",66.50,90.00,0,"Gravel road with trees along the fence to east of point, short but dense meadowfoam in the west side",1,17,17,1,"U","A","2","X","C","X","X","In flight"
"22_3_0927",927,53,"BMW","6/16/2022","9:27:00 AM",1.70,66.00,"2",50.00,108.00,0,"Hazelnuts (4-5ft tall) on one side, grass field and cows on the other side. Near Corvallis airport.",0,,,,,,,,,,,
"22_3_0955",955,79,"MLG","6/19/2022","8:21:00 AM",1.40,56.90,"2",67.10,90.00,0,"Farm on south side with guard dog, very small squash in field to north. Gravel shoulder with hay and some grass.
Other species: WCSP, BRBL, EUCD, CLSW, CORA, KILL",0,,,,,,,,,,,
"22_3_0981",981,179,"BMW","6/29/2022","9:20:00 AM",0.00,67.00,"2",66.00,111.00,0,"Grass fields on the north, some x-mas trees on the south, though with open patches between tree groups. Busy paved hwy running east west with gravel rd running south. Probably a decent area for Vesper Sparrows, though I didn't hear any at the survey spot. California quail in the x-mas trees.",0,,,,,,,,,,,
"22_3_0991",991,76,"MLG","6/19/2022","7:16:00 AM",0.00,55.40,"4",71.00,104.00,0,"Short cornfield to south, tall grass to north. Narrow gravel shoulder/ditch. Horse pasture to southeast.
Other species: BASW, WCSP, PUMA, MAKE",0,,,,,,,,,,,
"22_3_1055",1055,42,"MLG","6/16/2022","5:42:00 AM",0.00,56.50,"2",39.00,59.00,0,"Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.",2,20,20,2,"M","A","2","X","X","S","S",
"22_3_1055",1055,42,"MLG","6/16/2022","5:42:00 AM",0.00,56.50,"2",39.00,59.00,0,"Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.",2,19,19,1,"M","A","3","X","S","S","X",
"22_3_1189",1189,43,"MLG","6/16/2022","5:57:00 AM",0.00,56.90,"4",59.40,90.00,0,,0,,,,,,,,,,,
"22_3_1231",1231,174,"BMW","6/28/2022","5:43:00 AM",3.50,55.50,"2",44.00,101.00,0,"Large wheat field on the west, house and grass field on the east. Gravel rd. One row of trees along south edge. Point is right in front of a house. Savannah sparrows x3, white-crowned sparrow.",0,,,,,,,,,,,
"22_3_1398",1398,92,"MLG","6/22/2022","5:57:00 AM",1.30,55.10,"0",51.50,88.00,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,34,34,2,"F","A","2","X","X","X","V",
"22_3_1398",1398,92,"MLG","6/22/2022","5:57:00 AM",1.30,55.10,"0",51.50,88.00,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,33,33,1,"M","A","2","X","X","X","V",
"22_3_1425",1425,56,"BMW","6/16/2022","6:05:00 AM",0.00,64.00,"2",37.00,69.00,0,"Farm and hazelnuts on one side. Field of grass on other. Maybe not quite 50% suitable, but there is a section of wide open gravel road and a big field.",0,,,,,,,,,,,
"22_3_1509",1509,161,"BMW","6/23/2022","6:32:00 AM",4.00,51.00,"0",66.00,111.00,0,"Wheat field on one side, some large ag buildings and a newly planted field of what looks like squash plants. Savannah sparrows.",0,,,,,,,,,,,
"22_3_1577",1577,93,"MLG","6/22/2022","6:19:00 AM",0.00,56.20,"0",34.90,59.00,0,"Near 2 houses to west, tall grass field with mowed border to east. More tall grass to west behind the houses.
Other species: CORA, WCSP, BHCO, BRBL, MAKE",0,,,,,,,,,,,
"22_3_1578",1578,177,"BMW","6/29/2022","5:52:00 AM",1.70,59.00,"2",26.00,55.00,0,"Grass fields on the east. Line of tall trees along the road (walnuts?) and then a bare dirt field and grass and wheat and clover fields on west. Quiet gravel road. Savannah sparrow.",0,,,,,,,,,,,
"22_3_1638",1638,35,"MLG","6/14/2022","5:50:00 AM",0.00,56.00,"2",61.50,79.00,0,"Gravel shoulder. Trees on west side, fenced grassy field east with a pond. Lots of other birds singing",0,,,,,,,,,,,
"22_3_1679",1679,176,"BMW","6/29/2022","6:09:00 AM",1.00,58.00,"2",15.00,49.00,0,"Tall grass fields on both sides. One house and barn on a gravel rd. Super quiet spot. Savannah sparrow.",0,,,,,,,,,,,
"22_3_1761",1761,37,"MLG","6/14/2022","6:40:00 AM",0.00,57.40,"4",81.00,102.00,0,"In front of a house, there are trees on both sides but bare shoulder with tall grass or clover fields beyond trees",0,,,,,,,,,,,
"22_3_2409",2409,110,"MLG","6/24/2022","6:21:00 AM",1.30,53.10,"0",76.70,101.00,0,"Grass fields on both sides. No bare ground, grass up to pavement
Other species: SASP, WEME, BRBL",0,,,,,,,,,,,
"22_3_2452",2452,159,"BMW","6/23/2022","7:10:00 AM",2.30,56.50,"0",55.00,106.00,0,"Grass fields and horse pasture and house on one side. Trees lining the road and hazelnuts on the other. White-breasted nuthatch, acorn woodpecker.",0,,,,,,,,,,,
"22_3_2741",2741,171,"BMW","6/26/2022","7:13:00 AM",1.80,73.00,"0",36.00,64.00,0,"Forest on south, grass seed field on the north. Gravel Road. Some fields east of here had low vegetation and looked good for horned larks, but not in the circle. Quiet and no traffic.",0,,,,,,,,,,,
"22_3_2821",2821,155,"BMW","6/19/2022","6:43:00 AM",0.00,62.00,"2",21.00,56.00,0,"Very close to a house with a barking dog. Wheat and grass fields on both sides. Quail, kestrel, white-crowned sparrow, bullock's oriole, acorn woodpecker.",0,,,,,,,,,,,
"22_3_2825",2825,54,"BMW","6/16/2022","9:00:00 AM",5.00,64.00,"2",51.00,97.00,0,"Tall grass field on one side, wide gravel rd, some grass field and trees (oaks) on the other side. No traffic, noise level was quiet but I think my phone was picking up the wind.",0,,,,,,,,,,,
"22_3_2946",2946,96,"MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,40,40,3,"M","A","2","X","S","X","C",
"22_3_2946",2946,96,"MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,39,39,2,"M","A","3","S","X","X","X",
"22_3_2946",2946,96,"MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,38,38,1,"M","A","2","S","X","X","X",
"22_3_3047",3047,124,"MLG","6/29/2022","6:45:00 AM",1.40,58.60,"4",80.90,103.00,0,"Busy highway (99E) Tall grass on both sides. Bare/gravel shoulder and mowed field margins. Houses and trees near buffer.
Other species: BASW, HOFI",0,,,,,,,,,,,
"22_3_3056",3056,109,"MLG","6/24/2022","5:56:00 AM",1.10,54.50,"0",54.50,76.00,0,"Across from houses. Tall grass fields to north. Some trees along the fence, mowed shoulder.
Other species: EUCD, CHSP, AMCR, WCSP, COHA, AMGO, BASW, BHGR, BRBL, LABU",0,,,,,,,,,,,
"22_3_3086",3086,112,"MLG","6/24/2022","7:15:00 AM",1.60,57.10,"0",63.00,89.00,0,"In front of a house. Mowed grass shoulder. Wheat field to north, trees to south around houses. Emus and peafowl in a pasture.
Other species: EMU, INPE, WCSP, EUCD, PUFI, WEWP, AMRO, CEDW, BLPH, AMCR, VASW, BUOR",0,,,,,,,,,,,
"22_3_3153",3153,36,"MLG","6/14/2022","6:09:00 AM",0.00,57.00,"2",60.30,80.00,0,"Gravel road w/ tall grass on both sides, line of trees to the south",0,,,,,,,,,,,
"22_3_3154",3154,172,"BMW","6/26/2022","7:47:00 AM",4.00,76.00,"0",40.00,90.00,0,"Oaks and open grassy yard/house on one side, large grass field on the east side. Savannah sparrow.",0,,,,,,,,,,,
"22_3_3166",3166,26,"MLG","6/10/2022","7:48:00 AM",3.10,65.50,"2",14.10,34.60,0,"Tall grass on both sides of gravel road with mowed edges",0,,,,,,,,,,,
"22_3_3238",3238,154,"BMW","6/19/2022","8:19:00 AM",0.00,65.00,"2",28.00,84.00,0,"1/3 mature hazelnuts, 2/3 grass field. No traffic, max noise was just me moving nearby. Savannah sparrows and a kestrel.",0,,,,,,,,,,,
"22_3_3242",3242,170,"BMW","6/19/2022","8:33:00 AM",0.00,63.00,"2",25.00,51.00,0,"Grass field on one side and low veg field on the other, looks like clover. Quiet spot on a gravel rd, but the survey point is 30ft in front of a house and their windows, I could hear them talking while I did the survey. Seems like these should be moved slightly in future years so it doesn't stress out homeowners (and surveyors). Black-headed grosbeak, cedar waxwing, savannah sparrow.",0,,,,,,,,,,,
"22_3_3367",3367,95,"MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,37,37,3,"M","A","3","X","X","X","S",
"22_3_3367",3367,95,"MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,36,36,2,"M","A","2","X","S","X","X",
"22_3_3367",3367,95,"MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,35,35,1,"M","A","2","S","S","X","X",
"22_3_3421",3421,166,"BMW","6/23/2022","9:45:00 AM",7.50,62.00,"0",55.00,98.00,0,"Houses on the north side, field of tall green flowering plant on the south side. A little windy, last survey of the day. White-crowned sparrow and western wood-pewee. Winds were gusting up to 11mph.",0,,,,,,,,,,,
"22_3_3501",3501,80,"MLG","6/19/2022","8:38:00 AM",1.00,57.70,"2",88.10,104.00,0,"Busy road. Tall grass to east, tilled stubble to west.
hundreds of starlings",0,,,,,,,,,,,
"22_3_3562",3562,206,"SHA","6/24/2022","5:40:00 AM",0.00,53.40,"0",72.30,85.00,0,"on hwy 20, rr tracks run along and parallel road with some bare ground strips between",0,,,,,,,,,,,
"22_3_3586",3586,129,"MLG","6/29/2022","9:11:00 AM",1.10,62.10,"2",77.20,107.00,0,"Wheat on east side with fruit trees farther south, tall grass to west. Gravel road. House to northeast. Quiet except 2 4wheelers passing by
Other species: TUVU, WCSP, SASP, BASW",0,,,,,,,,,,,
"22_3_3604",3604,78,"MLG","6/19/2022","7:58:00 AM",0.00,57.20,"2",43.10,66.00,0,"Bare or short/new grass fields on both sides, shrubby creek between fields.
Other species: BHCO, COYE, SOSP, KILL, ANHU, BASW, VGSW,TRSW",0,,,,,,,,,,,
"22_3_3617",3617,169,"BMW","6/26/2022","8:14:00 AM",5.00,76.80,"0",52.00,102.00,0,"Hazelnuts on the north side, grass field on the south side. Paved road. Big gravel patch in the field on the south. Savannah sparrows.",0,,,,,,,,,,,
"22_3_3653",3653,40,"MLG","6/14/2022","8:00:00 AM",2.10,57.80,"4",49.90,70.00,0,"Gravel road with vineyard on both sides. Short to high greass on roadside. Before the survey, SHLA were flushed further up the road. Sunny but also drizzling. Other species: TUVU, CHSP, WCSP, MAKE, AMRO, BHGR, RUHU",1,18,18,1,"M","A","3","X","S","X","X",
"22_3_3709",3709,59,"BMW","6/16/2022","7:22:00 AM",2.70,56.50,"2",77.00,110.00,0,"Hwy 99w, very noisy at times, especially because a row of trees on each side of the road seem to funnel and amplify the sound. Half hazelnuts, half wheat fields, but with 10-12ft hedge of trees. Hard to hear much.",0,,,,,,,,,,,
"22_3_3717",3713,47,"MLG","6/16/2022","7:28:00 AM",4.20,57.80,"2",70.30,94.00,0,"Mowed shoulder, berm to north, grass fields to south. Coburg hunting club. Other species: COYE, YEWA, SOSP, RWBL, BRBL, CAQU, CLSW",0,,,,,,,,,,,
"22_3_3719",3719,137,"BMW","6/13/2022","5:42:00 AM",2.40,47.00,"1",74.00,111.00,0,"On very busy hwy 22 to the coast. First stop of the morning to minimize traffic sounds. Tall grass/hay on both sides of the road. I know from personal experience there are horned larks 1/4 mile to the east, but I never heard them at all this morning. Probably a good site to do on a Sunday morning.",0,,,,,,,,,,,
"22_3_3737",3737,128,"MLG","6/29/2022","8:46:00 AM",2.40,61.40,"2",82.60,106.00,0,"Tall grass mixed with wildflowers to south and northeast, low marshy spots but no bare ground visible. Plowed/short grass with bare dirt to northwest. Got dive bombed by a bunch of Wilson's phalaropes
Other species: BASW, KILL, CLSW, VASW, WIPH, RWBL, LEGO, SASP",0,,,,,,,,,,,
"22_3_3759",3759,87,"MLG","6/20/2022","7:35:00 AM",1.40,53.10,"2",41.20,57.00,0,"1m tall filberts on west side with somewhat tilled bare ground underneath. Tall grass to the east. Bare shouler.
Other species: RTHA, KILL",0,,,,,,,,,,,
"22_3_3771",3771,130,"MLG","6/30/2022","5:57:00 AM",1.00,58.10,"0",62.20,86.00,0,"Tall grass on both sides, gravel shoulder.
Other species: SASP",0,,,,,,,,,,,
"22_3_3855",3855,55,"BMW","6/16/2022","6:34:00 AM",0.00,61.50,"2",28.00,59.00,0,"One bare dirt field in one corner, one tall spinach seed field, and some grass with trees in the background. Seems like coordinates a little further from trees would get more suitable habitat. Bullock's Orioles calling from trees.",0,,,,,,,,,,,
"22_3_3873",3873,173,"BMW","6/28/2022","6:45:00 AM",3.00,59.00,"2",56.00,112.00,0,"Cut grass field on west, baled hay on the east, with a house. Paved road. One row of trees between fields. Lots of starlings in cut field. Wind gusts up to 10mph.",0,,,,,,,,,,,
"22_3_3881",3881,97,"MLG","6/22/2022","7:34:00 AM",1.80,62.50,"0",51.90,67.00,0,"Tall grass fields on both sides of gravel road. Bare spot at the bottom of the hill to northwest.
Other species: BASW, SASP, WEWP, HOFI, BHGR, MODO, SOSP, SWTH, BEWR, CEDW, BRBL, LEGO",0,,,,,,,,,,,
"22_3_3902",3902,158,"BMW","6/23/2022","7:32:00 AM",9.00,56.00,"0",46.00,100.00,0,"Tall grass hay on south side, short (6-8"" tall) widely spaced grass on north side. Wide open area, looks good for horned larks. No traffic, but wind gusts registered as loud on the wind app. Several savannah sparrows.",0,,,,,,,,,,,
"22_3_3906",3906,39,"MLG","6/14/2022","7:23:00 AM",2.00,52.70,"4",44.40,67.00,0,"Gravel road. Tall trees on north side, grass field on south side. Sky code to 4 by end of survey.",0,,,,,,,,,,,
"22_3_3924",3924,140,"BMW","6/13/2022","6:57:00 AM",1.70,57.00,"1",36.00,98.00,0,"Shrubby trees on one side, low vegetation on the other, but with a patch of blackberries blocking any visuals into the field except further down road. Gravel road.",1,51,51,1,"M","A","4","X","S","X","X","Singing, but barely audible."
"22_3_3930",3930,141,"BMW","6/13/2022","7:22:00 AM",5.00,55.00,"2",68.00,100.00,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,54,54,3,"F","A","2","X","X","V","V","Seen on the gravel road to my south, near the male."
"22_3_3930",3930,141,"BMW","6/13/2022","7:22:00 AM",5.00,55.00,"2",68.00,100.00,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,53,53,2,"M","A","2","X","X","V","V","Seen on the gravel road to my south."
"22_3_3930",3930,141,"BMW","6/13/2022","7:22:00 AM",5.00,55.00,"2",68.00,100.00,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,52,52,1,"M","A","3","X","S","S","S","Singing to my east."
"22_3_3950",3950,75,"MLG","6/19/2022","7:01:00 AM",1.00,56.80,"4",60.50,85.00,0,"Trees and a pond to the north, grass field to the south. Narrow gravel shoulder.
Other species: SOSP, WCSP, SPTO, RUHU, BAEA, BEWR, SASP, SWTH, AMGO",0,,,,,,,,,,,
"22_3_3968",3968,156,"BMW","6/19/2022","6:26:00 AM",0.00,57.50,"2",42.00,112.00,0,"Hwy 99w. Grass fields and wheat fields. No shoulder, parked on Stevenson rd and walked 99w. Early on Sunday seems ok to work with, as there are breaks in the traffic, but each car can be heard for a long time. Savannah sparrows.",0,,,,,,,,,,,
"22_3_3998",3998,160,"BMW","6/23/2022","6:51:00 AM",1.70,56.00,"0",41.00,99.00,0,"Tall grass/hay on both sides of the road. Some medium trees along the edges. Patch of tall trees/forest a little ways out of the circle. Savannah sparrow, common yellowthroat, bullock's oriole.",0,,,,,,,,,,,
"22_3_4051",4051,207,"SHA","6/23/2022","9:12:00 AM",6.00,65.10,"0",60.10,79.00,0,"grass fields, one is pretty much bare earth",0,,,,,,,,,,,
"22_3_4070",4070,25,"MLG","6/10/2022","6:43:00 AM",1.00,62.20,"2",10.70,50.60,0,"Park at the fir tree standing by itself and walk south to point. Stubble field with trees and tall grass northeast of point and tall grass on the other side. Other species noted: WCSP, KILL, COYE",0,,,,,,,,,,,
"22_3_4072",4072,162,"BMW","6/23/2022","8:25:00 AM",2.00,62.00,"0",56.00,68.00,0,"Sparsely wooded hillside with houses on south side of the road and then grass fields to the north. Some distant construction and tractors making noise. House wren, Western tanager, Scrub Jay.",0,,,,,,,,,,,
"22_3_4245",4245,139,"BMW","6/13/2022","6:25:00 AM",0.00,53.00,"2",43.00,101.00,0,"Treeless grass and clover fields with little bare ground, though on a wide gravel road. Just east of Baskett Slough NWR.",0,,,,,,,,,,,
"22_3_4296",4296,164,"BMW","6/23/2022","8:57:00 AM",6.00,58.00,"0",49.00,92.00,0,"No shoulder at all. A little windy. Open area, tall grass on both sides of the paved road. No open gravel or dirt. What percent of larks are found along paved roads? Cliff swallows.",0,,,,,,,,,,,
"22_3_4306",4306,89,"MLG","6/20/2022","8:24:00 AM",1.70,58.90,"2",63.10,91.00,0,"Trees and golfcourse on west side, grass field on east. Berm blocking view. Somewhat blind curve/hill
Other species: CHSP, MODO, RBSA, WEWP, TUVU",0,,,,,,,,,,,
"22_3_4378",4378,163,"BMW","6/23/2022","9:17:00 AM",7.00,59.00,"0",48.00,98.00,0,"Tall grass field on both sides of the road. Max noise was due to wind, which reached 12mph gusts. Common yellowthroat and Kestrel.",0,,,,,,,,,,,
"22_3_4386",4386,111,"MLG","6/24/2022","6:42:00 AM",1.50,53.70,"0",66.90,88.00,0,"In front of a house. Golf course and trees to south, wheat field and grass on either side of the house. Gravel and grass shoulder
Other species: COYE, CASJ, ANHU, BHCO, TRSW, AMKE, AMRO",0,,,,,,,,,,,
"22_3_4406",4406,41,"MLG","6/14/2022","8:44:00 AM",4.70,55.90,"2",70.50,89.00,0,"Grass cattle pasture west of point with some bare patches. Horse pasture on east side. Low grass and gravel on roadside. Other species: CHSP, BUOR, BHGR, BRBL",0,,,,,,,,,,,
"22_3_4449",4449,91,"MLG","6/22/2022","5:41:00 AM",1.10,54.60,"0",41.30,67.00,0,"Clover on south side, tall grass on the north side. Trees ~100m to west. Gravel road. Bare spot with some water to the southeast, lots of killdeer in it. Also a skunk burrow near the road.",1,32,32,1,"M","A","2","X","S","C","C",
"22_3_4465",4456,208,"SHA","6/23/2022","8:55:00 AM",3.70,61.20,"0",69.90,86.00,0,"fields with some stands of trees, fair amount of houses; pair of large dogs in fenced in field covering ~1/4 of survey area, intersection of busy road",0,,,,,,,,,,,
"22_3_4492",4492,58,"BMW","6/16/2022","7:00:00 AM",2.30,56.00,"2",38.00,91.00,0,"Right in front of some big ag buildings (see photos in google drive folder), but fields to the sides with some trees. Fields are wheat and grass.",0,,,,,,,,,,,
"22_3_4509",4509,60,"BMW","6/16/2022","7:55:00 AM",4.00,61.50,"2",57.00,100.00,0,"Tall grass fields on both sides of the road. House and equipment nearby. Fields surrounded by trees on the outskirts, but mostly fields.",0,,,,,,,,,,,
"22_3_4542",4542,142,"BMW","6/13/2022","8:02:00 AM",2.50,51.50,"2",41.00,108.00,0,"Some grass fields, some new hazelnuts, right in front of a house. Paved road with little bare ground.",0,,,,,,,,,,,
